id_curriculo	categoria	aceitando_email	saiu_do_ifg
2164	docente	True	False
1109	tecnico_administrativo	True	False
135	tecnico_administrativo	True	False
1384	docente	True	False
1865	tecnico_administrativo	True	False
1940	tecnico_administrativo	True	True
271	docente	True	False
294	docente	True	False
73	docente	True	False
1734	docente	True	False
314	docente	True	False
321	docente	True	False
1424	tecnico_administrativo	True	False
58	docente	True	False
804	tecnico_administrativo	True	True
710	docente	True	False
1585	tecnico_administrativo	True	False
149	tecnico_administrativo	True	False
83	docente	True	False
156	docente	True	False
286	tecnico_administrativo	True	False
2075	docente	True	False
654	docente	True	False
2140	docente	True	False
988	tecnico_administrativo	True	False
1614	docente	True	False
2066	tecnico_administrativo	True	False
704	docente	True	False
291	docente	True	False
1915	tecnico_administrativo	True	True
1507	tecnico_administrativo	True	False
366	docente	True	True
1824	docente	True	False
954	tecnico_administrativo	True	False
233	tecnico_administrativo	True	False
214	docente	True	False
638	tecnico_administrativo	True	False
1486	docente	True	True
1025	docente	True	False
1882	tecnico_administrativo	True	False
1572	docente	True	True
2059	tecnico_administrativo	True	False
2149	docente	True	False
1568	docente	True	False
688	docente	True	False
1411	docente	True	False
715	tecnico_administrativo	True	False
1504	docente	True	False
462	docente	True	True
2202	docente	True	False
451	tecnico_administrativo	True	False
1942	tecnico_administrativo	True	False
1937	tecnico_administrativo	True	False
2144	docente	True	False
1289	docente	True	False
1390	tecnico_administrativo	True	False
1487	docente	True	False
1347	tecnico_administrativo	True	False
1635	docente	True	False
1453	docente	True	True
770	tecnico_administrativo	True	False
174	docente	True	False
1834	docente	True	False
840	tecnico_administrativo	True	True
1871	tecnico_administrativo	True	True
1381	tecnico_administrativo	True	False
765	tecnico_administrativo	True	False
1147	tecnico_administrativo	True	False
2097	tecnico_administrativo	True	False
1353	tecnico_administrativo	True	False
268	docente	True	False
1029	docente	True	True
2017	tecnico_administrativo	True	True
2105	tecnico_administrativo	True	True
1964	tecnico_administrativo	True	False
1070	docente	True	False
1677	docente	True	False
1902	tecnico_administrativo	True	True
387	docente	True	False
2104	tecnico_administrativo	True	True
282	docente	True	False
1707	tecnico_administrativo	True	True
1172	docente	True	True
1712	docente	True	False
1642	docente	True	False
4	docente	True	False
347	docente	True	True
1160	docente	True	True
783	docente	True	False
1672	tecnico_administrativo	True	False
920	docente	True	False
679	tecnico_administrativo	True	True
1846	tecnico_administrativo	True	False
364	tecnico_administrativo	True	False
406	tecnico_administrativo	True	False
829	tecnico_administrativo	True	True
151	docente	True	False
1652	docente	True	False
1298	tecnico_administrativo	True	True
95	docente	True	True
1167	tecnico_administrativo	True	True
1304	tecnico_administrativo	True	True
1586	tecnico_administrativo	True	False
1643	docente	True	False
1941	tecnico_administrativo	True	True
825	tecnico_administrativo	True	True
1404	docente	True	True
395	docente	True	False
597	docente	True	False
1416	docente	True	False
21	docente	True	True
1775	tecnico_administrativo	True	True
1709	tecnico_administrativo	True	True
1680	tecnico_administrativo	True	False
1972	tecnico_administrativo	True	False
769	docente	True	False
644	docente	True	False
313	docente	True	False
1826	tecnico_administrativo	True	False
842	tecnico_administrativo	True	False
24	docente	True	False
200	docente	True	False
616	tecnico_administrativo	True	True
678	docente	True	False
1756	docente	True	False
1203	tecnico_administrativo	True	False
180	docente	True	False
1223	tecnico_administrativo	True	False
237	docente	True	True
1792	docente	True	False
795	docente	True	False
196	tecnico_administrativo	True	False
1048	tecnico_administrativo	True	False
1275	docente	True	True
848	docente	True	False
720	docente	True	False
480	docente	True	False
575	docente	True	False
1396	docente	True	False
272	docente	True	False
878	tecnico_administrativo	True	False
1741	tecnico_administrativo	True	False
788	tecnico_administrativo	True	False
2119	tecnico_administrativo	True	True
2108	tecnico_administrativo	True	False
224	tecnico_administrativo	True	False
1811	docente	True	False
2001	tecnico_administrativo	True	False
2159	tecnico_administrativo	True	False
643	tecnico_administrativo	True	True
1195	tecnico_administrativo	True	False
226	docente	True	False
2054	tecnico_administrativo	True	True
617	docente	True	False
1412	docente	True	False
1774	docente	True	False
1288	tecnico_administrativo	True	True
2207	tecnico_administrativo	True	False
1539	tecnico_administrativo	True	False
279	docente	True	False
1746	docente	True	False
1077	tecnico_administrativo	True	False
784	docente	True	False
1488	docente	True	False
262	docente	True	False
987	docente	True	False
1364	docente	True	False
2222	tecnico_administrativo	True	False
393	docente	True	False
1237	docente	True	False
