id_nota_rec	nota	id_curriculo_id	id_producao_id
1422	5.0	761	8449.0
1423	5.0	761	8450.0
1424	5.0	761	8451.0
1428	5.0	1447	23019.0
1429	5.0	1447	16982.0
1430	5.0	1447	16983.0
1431	5.0	1447	16984.0
1432	5.0	1447	16985.0
1433	5.0	1447	16986.0
1434	5.0	1447	16987.0
1435	5.0	1447	16988.0
1436	5.0	1447	16989.0
1437	5.0	1447	16990.0
1438	5.0	1447	16991.0
1439	5.0	1447	16992.0
1440	5.0	1447	16993.0
1441	5.0	1447	16994.0
1442	5.0	1447	16995.0
1443	5.0	1447	16996.0
1444	5.0	1447	16997.0
1445	5.0	1447	16998.0
1446	5.0	1447	16999.0
1447	5.0	1447	17000.0
1471	5.0	780	8597.0
1476	5.0	783	8648.0
1488	5.0	316	3463.0
1489	5.0	316	3464.0
1491	5.0	129	1386.0
1496	5.0	807	8895.0
1497	5.0	807	8896.0
1498	5.0	807	8897.0
1500	5.0	358	3855.0
1501	5.0	358	3856.0
1502	5.0	815	9113.0
1505	5.0	468	5065.0
1506	5.0	468	5066.0
1507	5.0	468	5067.0
1508	5.0	468	5068.0
1515	5.0	832	9204.0
1526	5.0	844	9358.0
1527	5.0	844	9359.0
1529	5.0	331	3630.0
1532	5.0	1380	16045.0
1533	5.0	1380	16043.0
1534	5.0	1380	16038.0
1535	5.0	1380	16039.0
1536	5.0	1380	16040.0
1537	5.0	1380	16041.0
1538	5.0	1380	16042.0
1539	5.0	1380	16044.0
1564	5.0	868	9595.0
1565	5.0	869	9597.0
1566	5.0	869	9596.0
1568	5.0	1512	18433.0
1569	5.0	1512	18431.0
1571	5.0	1512	18432.0
1572	5.0	1512	18434.0
1574	5.0	1512	18436.0
1575	5.0	1186	13948.0
1576	5.0	1186	13949.0
1599	5.0	59	715.0
1600	5.0	59	710.0
1601	5.0	59	711.0
1602	5.0	59	712.0
1603	5.0	59	713.0
1604	5.0	59	714.0
1605	5.0	59	716.0
1616	5.0	1444	16943.0
1621	5.0	339	3665.0
1622	5.0	339	3666.0
1623	5.0	339	3667.0
1629	5.0	1763	21710.0
1630	5.0	1763	21711.0
1631	5.0	1763	21712.0
1632	5.0	1763	21713.0
1633	5.0	1763	21714.0
1638	5.0	793	8719.0
1645	5.0	1001	11413.0
1646	5.0	1001	11408.0
1647	5.0	1001	11409.0
1648	5.0	1001	11410.0
1649	5.0	1001	11411.0
1650	5.0	1001	11412.0
1651	5.0	1001	11414.0
1656	5.0	930	10531.0
1669	5.0	937	10622.0
1676	5.0	919	10374.0
1678	5.0	919	10375.0
1679	5.0	919	10376.0
1680	5.0	919	10377.0
1681	5.0	919	10378.0
1689	5.0	950	10785.0
1691	5.0	1703	20990.0
1692	5.0	1703	20989.0
1693	5.0	1703	20991.0
1694	5.0	1703	20992.0
1699	5.0	49	563.0
1702	5.0	49	566.0
1703	5.0	49	567.0
1704	5.0	49	568.0
1711	5.0	960	10865.0
1712	5.0	960	10866.0
1718	5.0	971	11037.0
1719	5.0	971	11038.0
1720	5.0	971	11039.0
1721	5.0	971	11040.0
1722	5.0	971	11042.0
1723	5.0	971	11043.0
1727	5.0	1032	11665.0
1728	5.0	1032	11666.0
1729	5.0	1032	11667.0
1730	5.0	134	1459.0
1732	5.0	152	23009.0
1733	5.0	152	1693.0
1734	5.0	152	1694.0
1735	5.0	152	1695.0
1736	5.0	152	1696.0
1737	5.0	152	1697.0
1738	5.0	152	1698.0
